Search rep 1 (of 5)
random seed = 15967
gen	best_like	time	optPrecision
1800	-473.3366623	3	0.5
1810	-473.3340916	3	0.5
1820	-473.2948254	3	0.5
1830	-473.2506323	3	0.5
1840	-473.2506323	3	0.5
1850	-473.2428008	3	0.5
1860	-473.2428008	3	0.5
1870	-473.2279095	3	0.5
1880	-473.2047607	3	0.5
1890	-473.1901079	3	0.5
1900	-473.1874156	3	0.5
1910	-473.1781385	3	0.5
1920	-473.1781331	3	0.5
1930	-473.1774235	3	0.5
1940	-473.177416	3	0.5
1950	-473.177416	3	0.5
1960	-473.1231655	3	0.5
1970	-473.1182314	3	0.5
1980	-473.0958271	3	0.5
1990	-473.0943926	3	0.5
2000	-473.0918547	3	0.5
2010	-473.0866039	3	0.5
2020	-473.0654212	3	0.5
2030	-473.0530361	3	0.5
2040	-473.0469768	3	0.5
2050	-473.0429496	3	0.5
2060	-473.0073652	3	0.5
2070	-473.0052964	3	0.5
2080	-472.9846539	3	0.5
2090	-472.9846539	3	0.5
2100	-472.9826501	3	0.5
2110	-472.9808704	3	0.5
2120	-472.97697	3	0.5
2130	-472.9765807	3	0.5
2140	-472.9751493	3	0.5
2150	-472.9730669	3	0.5
2160	-472.9406726	3	0.5
2170	-472.9406726	3	0.5
2180	-472.9331116	3	0.5
2190	-472.9323507	3	0.5
2200	-472.9291103	3	0.5
2210	-472.9280168	3	0.5
2220	-472.9156784	3	0.5
2230	-472.9142699	4	0.5
2240	-472.9128477	4	0.5
2250	-472.9128277	4	0.5
2260	-472.907317	4	0.5
2270	-472.9072511	4	0.5
2280	-472.9069103	4	0.5
2290	-472.900722	4	0.5
2300	-472.898989	4	0.5
2310	-472.865471	4	0.451
2320	-472.8546015	4	0.451
2330	-472.8546015	4	0.451
2340	-472.8412838	4	0.451
2350	-472.8408666	4	0.451
2360	-472.8324806	4	0.451
2370	-472.8277605	4	0.451
2380	-472.8199695	4	0.451
2390	-472.8185165	4	0.451
2400	-472.8180878	4	0.451
2410	-472.8179734	4	0.451
2420	-472.8179734	4	0.451
2430	-472.8082337	4	0.451
2440	-472.8032837	4	0.451
2450	-472.7998548	4	0.451
2460	-472.7955353	4	0.451
2470	-472.7821574	4	0.451
2480	-472.7744453	4	0.451
2490	-472.7646896	4	0.451
2500	-472.7646896	4	0.451
2510	-472.7614052	4	0.451
2520	-472.750324	4	0.451
2530	-472.750324	4	0.451
2540	-472.750324	4	0.451
2550	-472.7496384	4	0.451
2560	-472.7492922	4	0.451
2570	-472.7492427	4	0.451
2580	-472.7461215	4	0.451
2590	-472.7387762	4	0.451
2600	-472.7331444	4	0.451
2610	-472.7287798	4	0.451
2620	-472.728513	4	0.451
2630	-472.7218447	4	0.451
2640	-472.7212049	4	0.451
2650	-472.7168772	4	0.451
2660	-472.7163842	4	0.451
2670	-472.7163842	4	0.451
2680	-472.712375	4	0.451
2690	-472.712375	4	0.451
2700	-472.7086811	4	0.451
2710	-472.7086811	4	0.451
2720	-472.7083216	4	0.451
2730	-472.7083216	4	0.451
2740	-472.7083012	4	0.451
2750	-472.7051371	4	0.451
2760	-472.6991759	4	0.451
2770	-472.6991759	4	0.451
2780	-472.6978353	4	0.451
2790	-472.6924872	4	0.451
2800	-472.6922522	4	0.451
2810	-472.6908693	4	0.451
2820	-472.6901374	4	0.451
2830	-472.6901374	4	0.451
2840	-472.6873665	4	0.451
2850	-472.6873665	5	0.451
2860	-472.6873665	5	0.451
2870	-472.6852829	5	0.451
2880	-472.684346	5	0.451
2890	-472.6843134	5	0.451
2900	-472.6823869	5	0.451
2910	-472.6816444	5	0.402
2920	-472.6816444	5	0.402
2930	-472.6816444	5	0.402
2940	-472.6816444	5	0.402
2950	-472.6764749	5	0.402
2960	-472.6746054	5	0.402
2970	-472.6745579	5	0.402
2980	-472.6745579	5	0.402
2990	-472.6745579	5	0.402
3000	-472.6724086	5	0.402
3010	-472.6706448	5	0.402
3020	-472.6706448	5	0.402
3030	-472.670602	5	0.402
3040	-472.6705881	5	0.402
3050	-472.6696732	5	0.402
3060	-472.6696732	5	0.402
3070	-472.6696732	5	0.402
3080	-472.6689531	5	0.402
3090	-472.6601089	5	0.402
3100	-472.6601089	5	0.402
3110	-472.6570849	5	0.402
3120	-472.6561036	5	0.402
3130	-472.6551555	5	0.402
3140	-472.6516822	5	0.402
3150	-472.6491024	5	0.402
3160	-472.6489031	5	0.402
3170	-472.6480034	5	0.402
3180	-472.6468452	5	0.402
3190	-472.6468452	5	0.402
3200	-472.6466665	5	0.402
3210	-472.6466665	5	0.402
3220	-472.6458681	5	0.402
3230	-472.6458681	5	0.402
3240	-472.6458681	5	0.402
3250	-472.6458681	5	0.402
3260	-472.6430231	5	0.402
3270	-472.6419927	5	0.402
3280	-472.6419927	5	0.402
3290	-472.6419927	5	0.402
3300	-472.6384713	5	0.402
3310	-472.6384713	5	0.402
3320	-472.6384713	5	0.402
3330	-472.6384713	5	0.402
3340	-472.6384713	5	0.402
3350	-472.638458	5	0.402
3360	-472.6369083	5	0.402
3370	-472.6354884	5	0.402
3380	-472.6354879	5	0.402
3390	-472.6349184	5	0.402
3400	-472.6348777	5	0.402
3410	-472.6343422	5	0.353
3420	-472.6311716	5	0.353
3430	-472.6311716	5	0.353
3440	-472.6311716	5	0.353
3450	-472.6311716	5	0.353
3460	-472.6311716	5	0.353
3470	-472.6311716	6	0.353
3480	-472.631098	6	0.353
3490	-472.631098	6	0.353
3500	-472.631098	6	0.353
3510	-472.6306155	6	0.353
3520	-472.6306155	6	0.353
3530	-472.6277373	6	0.353
3540	-472.6277373	6	0.353
3550	-472.6277373	6	0.353
3560	-472.6274951	6	0.353
3570	-472.6274951	6	0.353
3580	-472.6273019	6	0.353
3590	-472.6270896	6	0.353
3600	-472.6270896	6	0.353
3610	-472.6259556	6	0.353
3620	-472.6257808	6	0.353
3630	-472.6229754	6	0.353
3640	-472.6229659	6	0.353
3650	-472.6229659	6	0.353
3660	-472.6229659	6	0.353
3670	-472.6229659	6	0.353
3680	-472.622065	6	0.353
3690	-472.6196278	6	0.353
3700	-472.617143	6	0.353
3710	-472.617143	6	0.353
3720	-472.6142389	6	0.353
3730	-472.6136629	6	0.353
3740	-472.6103618	6	0.353
3750	-472.6103618	6	0.353
3760	-472.6103618	6	0.353
3770	-472.6099561	6	0.353
3780	-472.609903	6	0.353
3790	-472.6090386	6	0.353
3800	-472.6090386	6	0.353
3810	-472.6087663	6	0.353
3820	-472.6087663	6	0.353
3830	-472.6087663	6	0.353
3840	-472.6083671	6	0.353
3850	-472.6081936	6	0.353
3860	-472.6081338	6	0.353
3870	-472.6075659	6	0.353
3880	-472.6075659	6	0.353
3890	-472.6075659	6	0.353
3900	-472.6075003	6	0.353
3910	-472.6073422	6	0.304
3920	-472.6073422	6	0.304
3930	-472.6037325	6	0.304
3940	-472.6031955	6	0.304
3950	-472.6031955	6	0.304
3960	-472.6006165	6	0.304
3970	-472.6006165	6	0.304
3980	-472.6006165	6	0.304
3990	-472.6006165	6	0.304
4000	-472.6006146	6	0.304
4010	-472.6006146	6	0.304
4020	-472.6004015	6	0.304
4030	-472.6004015	6	0.304
4040	-472.6002054	6	0.304
4050	-472.6001329	6	0.304
4060	-472.6001329	7	0.304
4070	-472.5999483	7	0.304
4080	-472.5977415	7	0.304
4090	-472.5941055	7	0.304
4100	-472.5941055	7	0.304
4110	-472.5940911	7	0.304
4120	-472.5939573	7	0.304
4130	-472.5939568	7	0.304
4140	-472.5939541	7	0.304
4150	-472.5939533	7	0.304
4160	-472.5919791	7	0.304
4170	-472.5919791	7	0.304
4180	-472.5919791	7	0.304
4190	-472.5919791	7	0.304
4200	-472.5902904	7	0.304
4210	-472.5902904	7	0.304
4220	-472.5890947	7	0.304
4230	-472.5890947	7	0.304
4240	-472.588987	7	0.304
4250	-472.588756	7	0.304
4260	-472.588756	7	0.304
4270	-472.5884418	7	0.304
4280	-472.5884168	7	0.304
4290	-472.5884168	7	0.304
4300	-472.5877963	7	0.304
4310	-472.5877963	7	0.304
4320	-472.5877963	7	0.304
4330	-472.5877963	7	0.304
4340	-472.5877963	7	0.304
4350	-472.5877963	7	0.304
4360	-472.5877963	7	0.304
4370	-472.5841554	7	0.304
4380	-472.5837357	7	0.304
4390	-472.5837357	7	0.304
4400	-472.5835027	7	0.304
4410	-472.5835027	7	0.255
4420	-472.5833323	7	0.255
4430	-472.5833323	7	0.255
4440	-472.5833323	7	0.255
4450	-472.5833323	7	0.255
4460	-472.5832925	7	0.255
4470	-472.5824071	7	0.255
4480	-472.5824071	7	0.255
4490	-472.5824071	7	0.255
4500	-472.5824071	7	0.255
4510	-472.5824053	7	0.255
4520	-472.5816536	7	0.255
4530	-472.5816536	7	0.255
4540	-472.581152	7	0.255
4550	-472.5810734	7	0.255
4560	-472.5806124	7	0.255
4570	-472.5798366	7	0.255
4580	-472.5798359	7	0.255
4590	-472.5798359	7	0.255
4600	-472.5796835	7	0.255
4610	-472.5774886	7	0.255
4620	-472.5769425	7	0.255
4630	-472.5769425	8	0.255
4640	-472.5769354	8	0.255
4650	-472.5725254	8	0.255
4660	-472.5725254	8	0.255
4670	-472.5725254	8	0.255
4680	-472.5718663	8	0.255
4690	-472.5708441	8	0.255
4700	-472.5708441	8	0.255
4710	-472.5708441	8	0.255
4720	-472.5708379	8	0.255
4730	-472.5698068	8	0.255
4740	-472.5698068	8	0.255
4750	-472.5697271	8	0.255
