Search rep 1 (of 2)
random seed = 35522
gen	best_like	time	optPrecision
2050	-101950.0489	79	0.5
2060	-101942.298	80	0.5
2070	-101898.5138	80	0.5
2080	-101896.9397	80	0.5
2090	-101891.6949	81	0.5
2100	-101699.129	81	0.5
2110	-101659.6831	82	0.5
2120	-101658.0628	82	0.5
2130	-101629.6953	82	0.5
2140	-101625.8593	83	0.5
2150	-101499.5612	83	0.5
2160	-101352.3878	83	0.5
2170	-101351.3564	84	0.5
2180	-101331.6553	84	0.5
2190	-101305.6363	85	0.5
2200	-101305.3058	85	0.5
2210	-101158.2511	85	0.5
2220	-101155.1154	86	0.5
2230	-100010.4522	86	0.5
2240	-99996.41955	86	0.5
2250	-99995.92301	87	0.5
2260	-99977.65664	87	0.5
2270	-99976.94152	87	0.5
2280	-99899.68529	88	0.5
2290	-99899.49021	88	0.5
2300	-99893.13356	88	0.5
2310	-99764.69863	89	0.5
2320	-99761.02252	89	0.5
2330	-99760.7215	89	0.5
2340	-99760.1258	90	0.5
2350	-99759.38618	90	0.5
2360	-99748.79126	90	0.5
2370	-99748.79126	90	0.5
2380	-99741.33479	91	0.5
2390	-99740.91258	91	0.5
2400	-99525.59012	91	0.5
2410	-99525.5142	92	0.5
2420	-99525.5142	92	0.5
2430	-99499.7115	92	0.5
2440	-99499.7115	92	0.5
2450	-99493.63759	93	0.5
2460	-99074.88828	93	0.5
2470	-99004.27062	93	0.5
2480	-98795.11386	94	0.5
2490	-98794.23898	94	0.5
2500	-98792.29302	94	0.5
2510	-98792.10246	94	0.5
2520	-98770.90519	95	0.5
2530	-98770.27309	95	0.5
2540	-98767.34971	95	0.5
2550	-98766.94822	95	0.5
2560	-98766.87266	96	0.5
2570	-98766.87266	96	0.5
2580	-98766.38783	96	0.5
2590	-98765.11113	96	0.5
2600	-98765.11113	97	0.5
2610	-98720.81541	97	0.5
2620	-98720.38252	97	0.5
2630	-98720.11952	97	0.5
2640	-98720.08054	98	0.5
2650	-98719.98748	98	0.5
2660	-98680.76651	98	0.5
2670	-98680.23996	98	0.5
2680	-98680.10646	99	0.5
2690	-98604.94041	99	0.5
2700	-98604.86885	99	0.5
2710	-98604.86885	99	0.5
2720	-98604.86885	100	0.5
2730	-98604.73543	100	0.5
2740	-98571.52956	100	0.5
2750	-98552.37631	100	0.5
2760	-98552.37631	101	0.5
2770	-98552.35373	101	0.5
2780	-98552.35373	101	0.5
2790	-98551.84734	102	0.5
2800	-98551.84734	102	0.5
2810	-98546.02007	102	0.5
2820	-98544.97291	102	0.5
2830	-98538.28996	103	0.5
2840	-98535.98854	103	0.5
2850	-98533.00366	103	0.5
2860	-98533.00366	103	0.5
2870	-98532.90393	104	0.5
2880	-98532.7407	104	0.5
2890	-98532.10672	104	0.5
2900	-98531.64742	104	0.5
2910	-98531.29569	105	0.5
2920	-98527.93545	105	0.5
2930	-98527.93545	105	0.5
2940	-98527.16471	105	0.5
2950	-98526.07572	106	0.5
2960	-98526.06628	106	0.5
2970	-98526.06628	106	0.5
2980	-98450.69405	106	0.5
2990	-98450.25733	107	0.5
3000	-98450.10077	107	0.5
3010	-98444.55414	107	0.5
3020	-98444.35303	107	0.5
3030	-98442.79161	108	0.5
3040	-98442.79161	108	0.5
3050	-98442.52371	108	0.5
3060	-98432.05384	109	0.5
3070	-98432.0139	109	0.5
3080	-98431.97196	109	0.5
3090	-98430.53398	109	0.5
3100	-98430.51735	110	0.5
3110	-98430.46108	110	0.5
3120	-98430.45216	110	0.5
3130	-98423.15462	111	0.5
3140	-98423.02633	111	0.5
3150	-98422.96647	111	0.5
3160	-98422.65192	112	0.5
3170	-98395.1195	112	0.5
3180	-98395.1195	113	0.5
3190	-98387.33591	113	0.5
3200	-98386.86883	113	0.5
3210	-98385.85923	114	0.5
3220	-98385.39191	114	0.5
3230	-98384.0915	114	0.5
3240	-98379.31439	115	0.5
3250	-98377.28701	115	0.5
3260	-98372.892	116	0.5
3270	-98372.62631	116	0.5
3280	-98371.52627	116	0.5
3290	-98370.62354	117	0.5
3300	-98370.18563	117	0.5
3310	-98303.09058	117	0.5
3320	-98301.25631	118	0.5
3330	-98300.92827	118	0.5
3340	-98300.21508	118	0.5
3350	-98296.80181	119	0.5
3360	-98292.7655	119	0.5
3370	-98291.97844	119	0.5
3380	-98291.54372	120	0.5
3390	-98291.00109	120	0.5
3400	-98289.76934	120	0.5
3410	-98289.25075	121	0.5
3420	-98285.95249	121	0.5
3430	-98285.90156	122	0.5
3440	-98285.20566	122	0.5
3450	-98278.73667	122	0.5
3460	-98278.34023	123	0.5
3470	-98278.04146	123	0.5
3480	-98278.00372	123	0.5
3490	-98277.05249	124	0.5
3500	-98276.85998	124	0.5
3510	-98276.19135	124	0.5
3520	-98276.10157	125	0.5
3530	-98271.4876	125	0.5
3540	-98268.72094	125	0.5
3550	-98267.03014	126	0.5
3560	-98266.41423	126	0.5
3570	-98265.61642	126	0.5
3580	-98262.21237	127	0.5
3590	-98261.31964	127	0.5
3600	-98260.14707	127	0.5
3610	-98260.07685	128	0.5
3620	-98258.64242	128	0.5
3630	-98257.97041	128	0.5
3640	-98257.9096	129	0.5
3650	-98254.98238	129	0.5
3660	-98254.88205	130	0.5
3670	-98254.84198	130	0.5
3680	-98254.84198	130	0.5
3690	-98254.64178	131	0.5
3700	-98254.5582	131	0.5
3710	-98251.22146	131	0.5
3720	-98251.1044	132	0.5
3730	-98248.29776	132	0.5
3740	-98248.29776	132	0.5
3750	-98247.96232	133	0.5
3760	-98247.04335	133	0.5
3770	-98247.04335	133	0.5
3780	-98245.15625	134	0.5
3790	-98245.13679	134	0.5
3800	-98243.4601	134	0.5
3810	-98242.66808	135	0.5
3820	-98242.66503	135	0.5
3830	-98240.9981	136	0.5
3840	-98237.51792	136	0.5
3850	-98237.51324	136	0.5
3860	-98236.79192	137	0.5
3870	-98236.64883	137	0.5
3880	-98236.49024	137	0.5
3890	-98236.11365	138	0.5
3900	-98236.11365	138	0.5
3910	-98235.86034	139	0.5
3920	-98233.56727	139	0.5
3930	-98229.69303	139	0.5
3940	-98225.24803	140	0.5
3950	-98224.87461	140	0.5
3960	-98224.83732	141	0.5
3970	-98222.78958	141	0.5
3980	-98222.34096	142	0.5
3990	-98222.12346	142	0.5
4000	-98219.15631	143	0.5
4010	-98218.01069	143	0.5
4020	-98215.76223	144	0.5
4030	-98213.62574	144	0.5
4040	-98213.3011	145	0.5
4050	-98211.28866	145	0.5
4060	-98207.67669	146	0.5
4070	-98206.48992	146	0.5
4080	-98205.87584	147	0.5
4090	-98205.07485	147	0.5
4100	-98204.79307	148	0.5
4110	-98204.75016	148	0.5
4120	-98204.21313	149	0.5
4130	-98204.11783	149	0.5
4140	-98203.34829	150	0.5
4150	-98202.42311	150	0.5
4160	-98201.00382	151	0.5
4170	-98200.24134	151	0.5
4180	-98200.10273	152	0.5
4190	-98200.00917	152	0.5
4200	-98199.56791	152	0.5
4210	-98199.48836	153	0.5
4220	-98198.10014	153	0.5
4230	-98197.93625	154	0.5
4240	-98196.75469	154	0.5
4250	-98196.56948	155	0.5
4260	-98196.24221	155	0.5
4270	-98196.18689	155	0.5
4280	-98195.70648	156	0.5
4290	-98195.5086	156	0.5
4300	-98195.43354	157	0.5
4310	-98195.35956	157	0.5
4320	-98195.30694	158	0.5
4330	-98195.22505	158	0.5
4340	-98194.58821	159	0.5
4350	-98194.10445	159	0.5
4360	-98193.66816	160	0.5
4370	-98193.46394	160	0.5
4380	-98193.40756	160	0.5
4390	-98193.16026	161	0.5
4400	-98192.70132	161	0.5
4410	-98189.3772	162	0.451
4420	-98188.73072	163	0.451
4430	-98188.68307	163	0.451
4440	-98188.42026	163	0.451
4450	-98188.12198	164	0.451
4460	-98187.96239	164	0.451
4470	-98187.68025	165	0.451
4480	-98187.4974	165	0.451
4490	-98187.49385	165	0.451
4500	-98187.34447	166	0.451
4510	-98187.23549	166	0.451
4520	-98187.23511	167	0.451
4530	-98187.12492	167	0.451
4540	-98186.85972	167	0.451
4550	-98186.85972	168	0.451
4560	-98186.85972	168	0.451
4570	-98186.67741	169	0.451
