Search rep 1 (of 5)
random seed = 60728
gen	best_like	time	optPrecision
2040	-13316.07869	17	0.206
2050	-13316.05996	18	0.206
2060	-13316.05996	18	0.206
2070	-13316.0548	18	0.206
2080	-13316.0548	18	0.206
2090	-13316.0548	18	0.206
2100	-13316.0548	18	0.206
2110	-13316.0548	18	0.108
2120	-13316.0548	18	0.108
2130	-13316.05467	19	0.108
2140	-13316.05327	19	0.108
2150	-13316.05023	19	0.108
2160	-13316.03529	19	0.108
2170	-13316.03521	19	0.108
2180	-13316.03521	19	0.108
2190	-13316.0346	19	0.108
2200	-13316.02904	19	0.108
2210	-13316.02904	20	0.108
2220	-13316.02904	20	0.108
2230	-13316.02904	20	0.108
2240	-13316.02904	20	0.108
2250	-13316.02904	20	0.108
2260	-13316.02904	20	0.108
2270	-13316.02904	20	0.108
2280	-13316.02904	20	0.108
2290	-13316.02904	21	0.108
2300	-13316.02904	21	0.108
2310	-13316.02904	21	0.108
2320	-13316.02904	21	0.108
2330	-13316.02904	21	0.108
2340	-13316.02904	21	0.108
2350	-13316.02279	21	0.108
2360	-13316.02279	21	0.108
2370	-13316.02279	22	0.108
2380	-13316.02279	22	0.108
2390	-13316.02279	22	0.108
2400	-13316.02045	22	0.108
2410	-13316.02045	22	0.108
2420	-13316.02045	22	0.108
2430	-13316.0042	22	0.108
2440	-13316.0042	22	0.108
2450	-13316.00027	23	0.108
2460	-13316.00027	23	0.108
2470	-13315.9999	23	0.108
2480	-13315.99543	23	0.108
2490	-13315.99523	23	0.108
2500	-13315.99523	23	0.108
2510	-13315.99523	23	0.108
2520	-13315.98962	23	0.108
2530	-13315.98962	24	0.108
2540	-13315.98962	24	0.108
2550	-13315.98962	24	0.108
2560	-13315.98962	24	0.108
2570	-13315.98962	24	0.108
2580	-13315.98962	24	0.108
2590	-13315.98962	24	0.108
2600	-13315.98962	24	0.108
2610	-13315.94299	25	0.01
2620	-13315.94246	25	0.01
2630	-13315.94246	25	0.01
2640	-13315.94246	25	0.01
2650	-13315.94246	25	0.01
2660	-13315.94229	25	0.01
2670	-13315.94229	25	0.01
2680	-13315.94036	26	0.01
2690	-13315.94036	26	0.01
2700	-13315.94036	26	0.01
2710	-13315.94028	26	0.01
2720	-13315.94028	26	0.01
2730	-13315.94028	26	0.01
2740	-13315.94028	26	0.01
